12292, 348, 23, 0.0888, no trigger, navigating, 1
12309, 348, 23, 0.0888, right trigger, navigating, 1
12326, 348.5, 22.1, 0.0889, no trigger, navigating, 1
12344, 349.1, 21.2, 0.0891, no trigger, navigating, 1
12361, 349.6, 20.3, 0.0893, no trigger, navigating, 1
12378, 350.2, 19.5, 0.0894, no trigger, navigating, 1
12394, 350.7, 18.7, 0.0896, no trigger, navigating, 1
12412, 351.3, 17.8, 0.0898, no trigger, navigating, 1
12429, 351.8, 17, 0.0899, no trigger, navigating, 1
12446, 352.3, 16.2, 0.0901, no trigger, navigating, 1
12464, 352.8, 15.4, 0.0902, no trigger, navigating, 1
12481, 353.4, 14.5, 0.0904, no trigger, navigating, 1
12498, 353.9, 13.8, 0.0906, no trigger, navigating, 1
